station	tmprg_max	tmprg_min	tmprg_diff	lat	lon	elev	state	name	gsn	hcn	wmo	rank_max	rank_min
USW00012839	8.7516129032	10.193548387	-1.441935484	25.7906	-80.3164	8.8	FL	MIAMI INTL AP			72202	0	1
USW00012850	8.1348484848	9.9133333333	-1.778484848	24.5833	-81.6833	1.8	FL	KEY WEST NAS				0	1
USW00012882	9.1677419355	10.629032258	-1.461290323	25.9069	-80.2803	3	FL	MIAMI OPA LOCKA AP				0	1
USW00012885	8.9483870968	10.567741935	-1.619354839	26.1969	-80.1708	4.3	FL	FT LAUDERDALE EXECUTIVE AP				0	1
USW00012896	9.1032258065	9.4935483871	-0.390322581	24.7258	-81.0517	2.4	FL	MARATHON AP				0	0
USW00014912	2.79	3.77	-0.98	48.1069	-98.8681	446.2	ND	DEVILS LAKE KDLR				0	0
USW00021504	4.6568817204	4.4595698925	0.197311828	19.7192	-155.0531	11.6	HI	HILO INTL AP	GSN		91285	0	0
USW00021510	3.5032258065	4.5461170848	-1.042891278	19.7356	-156.0489	13.1	HI	KAILUA KONA KE-AHOLE AP				0	0
USW00021514	6.0064516129	4.7451612903	1.2612903226	19.5353	-155.5761	3407.4	HI	MAUNA LOA 5 NNE				0	0
USW00021515	3.9893548387	3.8548387097	0.134516129	19.645	-155.0828	189.6	HI	HILO 5 S				0	0
USW00022501	5.7759259259	5.7755555556	0.0003703704	22.0333	-159.7833	4	HI	BARKING SANDS			91162	0	0
USW00022516	5.2106451613	4.6387096774	0.5719354839	20.8997	-156.4286	15.5	HI	KAHULUI AP			91190	0	0
USW00022519	3.969124424	4.2088709677	-0.239746544	21.45	-157.7833	3	HI	KANEOHE BAY MCAS			91176	0	0
USW00022521	5.8915053763	5.5258064516	0.3656989247	21.3239	-157.9294	2.1	HI	HONOLULU INTL AP			91182	0	0
USW00022534	5.2502150538	5.0096774194	0.2405376344	21.1544	-157.0961	135	HI	MOLOKAI AP			91186	0	0
USW00022536	5.8197619048	5.8806451613	-0.060883257	21.9839	-159.3405	30.5	HI	LIHUE WSO AP 1020.1	GSN		91165	0	0
