102,13,138,20
3,29,1,19
248,18,68,0
14,9,8,8
27,19,73,56
29,12,38,23
14,6,17,3
5,38,2,26
7,31,3,20
5,9,21,12
1,5,19,133
18,4,9,4
17,6,80,23
4,10,21,73
6,0,32,17
6,17,18,36
46,19,6,5
80,18,22,5
14,34,30,41
187,1,130,1
3,25,14,140
14,20,106,95
31,69,7,16
11,31,4,12
213,15,26,3
33,19,34,26
0,17,28,163
14,6,59,43
40,76,13,42
13,8,4,4
0,7,5,51
11,0,167,5
16,65,7,15
174,69,5,4
6,0,39,8
9,55,4,33
33,93,59,141
9,10,8,10
123,102,9,8
3,72,2,105
108,90,32,29
77,157,6,9
9,7,39,15
3,4,146,189
6,68,10,104
42,84,0,3
6,86,0,3
7,112,2,107
56,2,18,1
8,13,19,28
6,6,119,31
19,78,59,136
3,69,9,105
123,11,37,5
24,12,31,12
4,84,5,156
47,38,31,28
35,54,36,56
2,1,97,12
0,16,2,147
63,60,82,77
90,4,4,0
55,52,23,25
9,60,7,85
0,4,12,18
81,5,94,2
0,1,103,111
28,8,134,29
5,1,136,44
1,88,0,50
17,67,22,39
17,24,24,22
40,46,1,1
21,13,102,46
0,3,81,79
20,218,3,49
0,17,5,89
10,23,20,78
66,31,130,52
112,110,7,12
39,33,27,18
19,59,9,18
17,36,73,141
86,118,38,61
104,127,37,42
0,35,8,67
80,61,84,59
13,3,17,5
38,12,29,5
223,7,49,4
57,24,22,7
52,1,225,1
136,37,28,9
94,112,9,2
2,5,38,65
199,48,3,0
8,10,74,97
42,19,17,10
1,0,77,104
128,115,28,26
34,57,11,4
0,0,92,71
52,38,100,27
46,21,93,36
250,50,0,0
8,0,41,3
47,105,14,28
98,41,99,48
7,18,32,34
2,2,10,88
9,41,10,29
42,125,7,17
43,165,4,27
47,127,30,61
75,101,48,41
0,6,14,226
26,71,30,76
55,16,11,6
1,1,30,10
35,17,82,38
16,23,38,59
57,131,1,1
11,19,109,127
103,6,2,0
149,4,71,6
17,45,12,42
58,51,88,84
3,35,6,129
9,8,27,71
103,159,14,27
2,29,10,104
14,0,261,14
33,5,182,27
26,6,175,40
6,20,5,48
67,37,61,16
3,12,51,71
9,19,13,18
3,30,2,54
81,5,223,14
44,15,3,3
53,175,21,67
24,143,14,72
22,34,81,74
112,62,11,12
1,58,9,64
65,7,46,1
22,11,40,25
3,3,5,21
4,10,13,39
1,29,38,211
2,13,34,148
42,24,82,31
29,59,34,128
18,21,3,30
10,3,42,36
0,1,1,76
26,39,1,0
43,45,11,24
13,6,146,92
23,11,43,18
18,56,2,16
35,50,57,98
84,71,12,10
20,48,8,17
77,19,14,6
7,3,178,87
1,3,16,29
5,1,150,71
107,11,66,7
101,14,38,3
9,1,50,19
31,11,165,76
40,11,68,43
151,22,74,4
33,39,88,107
44,0,225,2
17,117,5,21
13,15,97,122
39,133,32,90
51,12,138,32
39,16,8,13
39,138,21,73
59,39,12,5
59,159,2,15
18,10,44,25
8,110,25,174
1,8,20,235
18,70,20,61
48,68,14,22
17,37,16,30
232,11,12,0
2,5,41,129
33,13,5,2
18,22,52,85
7,18,45,134
1,8,29,60
209,28,41,6
71,34,29,10
35,154,13,46
0,1,21,122
8,11,33,36
72,10,39,8
45,0,63,0
12,48,29,86
53,16,164,41
5,79,5,70
29,77,33,113
10,39,23,91
14,80,55,157
1,9,8,65
225,2,17,0
147,0,170,0
33,0,126,1
3,5,28,28
19,12,28,13
21,140,7,131
181,2,83,0
5,119,0,2
30,38,34,48
31,27,93,56
195,71,0,0
3,8,71,166
19,62,24,110
5,93,0,18
93,112,6,5
8,8,16,14
2,3,20,20
85,140,3,12
9,6,9,8
64,35,8,7
149,17,27,3
51,1,134,0
4,1,198,64
17,20,70,72
12,33,27,67
189,60,19,3
4,0,38,4
55,23,28,16
46,48,62,61
78,157,12,14
28,32,16,34
30,36,46,43
9,14,79,119
44,63,29,47
28,5,93,19
71,45,12,6
26,21,74,58
12,8,40,20
48,57,78,70
6,199,1,41
37,9,1,0
109,57,74,34
13,64,9,24
65,5,78,5
28,30,73,52
4,9,46,65
22,0,140,0
268,32,12,4
75,193,0,1
49,50,9,8
101,12,171,10
1,0,22,4
48,15,52,21
144,12,132,20
14,15,39,40
46,128,10,41
96,18,70,23
1,131,2,149
15,12,8,11
144,93,21,16
68,10,21,3
8,125,2,18
2,6,37,68
7,14,15,17
32,14,8,3
5,87,11,141
15,5,43,14
57,120,17,66
16,9,173,77
1,66,2,153
11,6,30,6
115,84,32,28
43,4,42,3
35,64,19,55
3,3,86,84
16,16,52,70
4,74,2,112
14,26,51,51
2,11,19,62
6,23,38,163
14,3,17,2
24,3,50,2
76,109,0,1
72,18,9,2
13,42,30,113
38,35,20,32
49,22,6,2
6,11,49,85
0,0,33,0
1,0,105,5
16,9,21,4
11,10,51,40
173,46,5,3
17,128,8,51
6,89,2,44
32,16,50,50
6,0,32,1
47,7,44,13
17,4,8,3
13,15,2,3
21,8,59,25
2,1,20,28
72,15,2,0
7,0,279,7
35,24,35,29
4,14,66,146
34,198,3,15
4,17,52,168
86,65,43,26
42,29,57,73
7,220,3,34
28,177,5,23
176,27,51,7
26,25,39,45
10,23,4,35
24,18,0,0
27,26,141,87
45,26,106,65
36,126,27,118
56,19,14,3
12,4,116,6
12,50,56,85
46,43,65,88
2,2,18,13
25,8,149,60
54,122,12,16
12,14,6,15
14,16,4,4
30,6,206,39
18,80,7,55
2,11,15,44
0,22,5,190
80,22,6,2
94,6,42,5
17,54,10,17
3,43,21,213
58,47,53,52
2,17,32,131
87,57,85,44
3,199,1,40
0,28,5,41
117,30,95,18
67,72,49,38
6,102,2,47
10,13,3,3
6,5,69,58
0,44,1,27
79,55,43,30
37,1,191,4
64,53,69,83
21,21,7,3
19,15,7,10
2,44,18,217
1,5,10,31
32,27,15,12
25,7,3,1
31,61,15,50
50,129,11,24
94,22,11,1
46,2,21,0
10,37,16,70
35,13,15,4
22,12,101,70
13,263,1,2
0,19,2,184
3,10,67,164
93,7,48,1
58,77,4,12
63,87,40,57
0,36,0,88
0,3,21,101
102,6,50,8
33,159,19,80
91,5,92,7
17,128,13,81
66,128,30,67
160,102,10,2
24,14,88,66
76,56,64,75
4,57,5,19
97,31,36,4
2,28,2,9
152,43,44,15
173,86,9,8
4,7,140,173
5,15,55,118
27,15,22,11
205,32,32,7
8,37,17,67
49,38,59,33
