                                                           The SAS System                        14:47 Tuesday, December 1, 2015   1

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff
                                          176    CA001018    16.8250    11.3305     5.49447
                                          177    CA001020    16.5127    15.3796     1.13306
                                          178    CA001021    20.4721    15.8685     4.60364
                                          179    CA001022    14.5687    13.6077     0.96094
                                          180    CA001023    21.1083    14.7333     6.37494
                                          181    CA001024    19.9407    13.0389     6.90185
                                          182    CA001025    22.6799    15.9869     6.69294
                                          183    CA001026    18.9781    13.6551     5.32298
                                          184    CA001027    16.5092    14.8972     1.61198
                                          185    CA00102B    16.9073    14.7379     2.16935
                                          186    CA001030    24.4871    15.5392     8.94798
                                          187    CA001031    11.8107    10.6179     1.19286
                                          188    CA001032    11.3070    10.5305     0.77655
                                          189    CA001033    23.2159    14.3803     8.83561
                                          190    CA001034    10.6290     9.7408     0.88825
                                          191    CA001035    13.1141    10.5628     2.55125
                                          192    CA001036    19.0177    12.8228     6.19487
                                          193    CA001037    12.2547    11.2452     1.00942
                                          194    CA001038    12.8430    11.0510     1.79196
                                          195    CA001039    21.2037    14.1376     7.06614
                                          196    CA001043    16.8007    15.7619     1.03879
                                          197    CA001045    17.1542    15.4352     1.71905
                                          198    CA001046    19.5294    15.3207     4.20869
                                          199    CA001047    19.9377    15.8115     4.12615
                                          200    CA001048    26.6510    18.8963     7.75474
                                          201    CA001051    12.0946    11.8615     0.23306
                                          202    CA001054    13.8502    12.9841     0.86615
                                          203    CA001056    13.5562    12.4507     1.10553
                                          204    CA001057    14.9561    13.7845     1.17162
                                          205    CA00105P    14.0881    11.4230     2.66502
                                          206    CA001060    14.8745    13.5670     1.30745
                                          207    CA001061    17.6523    13.2522     4.40009
                                          208    CA001062    13.6938    12.5532     1.14067
                                          209    CA001063    13.0781    12.2825     0.79558
                                          210    CA001064    19.9937    16.9482     3.04549
                                          211    CA001065     0.0000      .          .     
                                          212    CA001066    14.7889    15.9000    -1.11111
                                          213    CA001067    20.8801    20.0780     0.80207
                                          214    CA001068    20.7397    16.6944     4.04528
                                          215    CA00106D    22.8750    17.4750     5.40000
                                          216    CA001072    29.5161    29.2473     0.26882
                                          217    CA001073    29.1652    26.9170     2.24815
                                          218    CA001075    25.0265    24.2189     0.80760
                                          219    CA001077    29.9089    25.3798     4.52917
                                          220    CA00107G    27.3798    22.1446     5.23518
                                                           The SAS System                        14:47 Tuesday, December 1, 2015   5

                                                              tmax_      tmin_       range_
                                          Obs    station      range      range         diff

                                          221    CA001085    28.2657    28.4131     -0.1474
                                          222    CA001086    30.5683    25.3031      5.2652
                                          223    CA001088    29.2020    21.2282      7.9737
                                          224    CA001090    28.6285    26.1118      2.5167
                                          225    CA001091    29.6271    28.3258      1.3013
                                          226    CA001092    30.4409    28.2515      2.1894
                                          227    CA001093    32.1606    28.4407      3.7199
                                          228    CA001095    30.8239    25.7618      5.0620
                                          229    CA001096    31.5452    28.0129      3.5323
                                          230    CA001097    27.9175    26.3790      1.5385
                                          231    CA001098    30.9323    28.7621      2.1702
                                          232    CA00109A    18.8710    12.6371      6.2339
                                          233    CA00109E    30.9507    25.6944      5.2563
                                          234    CA001100    22.4728    16.7690      5.7038
                                          235    CA001101    21.5026    17.3136      4.1890
                                          236    CA001102    19.2585    14.1753      5.0831
                                          237    CA001103    19.2391    13.6977      5.5414
                                          238    CA001104    22.7186    16.7500      5.9686
                                          239    CA001105    21.0925    17.4710      3.6214
                                          240    CA001106    18.5610    15.2892      3.2718
                                          241    CA001107    18.4216    15.4308      2.9908
                                          242    CA001108    18.8793    16.5451      2.3342
                                          243    CA00110N    22.1844    15.2901      6.8943
                                          244    CA001113    23.3304    18.0126      5.3178
                                          245    CA001114    31.1542    22.9596      8.1946
                                          246    CA001123    30.2767    21.9574      8.3192
                                          247    CA001125    30.3237    22.3687      7.9551
                                          248    CA001126    30.0233    21.8490      8.1743
                                          249    CA001128    31.0524    23.3452      7.7072
                                          250    CA00112F    32.0328    23.6245      8.4083
                                          251    CA00112G    30.0787    22.7185      7.3601
                                          252    CA001135    32.1774    21.9274     10.2500
                                          253    CA001140    31.6964    23.3571      8.3393
                                          254    CA001141    29.8940    22.1388      7.7552
                                          255    CA001142    29.3542    22.0526      7.3017
                                          256    CA001143    29.2350    22.9061      6.3289
                                          257    CA001144    29.9154    22.1043      7.8112
                                          258    CA001145    29.1580    20.5003      8.6577
                                          259    CA001148    32.3999    19.5000     12.8999
                                          260    CA00114B    30.1501    23.1907      6.9594
                                          261    CA00114E    29.8925    21.8088      8.0836
                                          262    CA001150    32.3172    25.3023      7.0149
                                          263    CA001152    33.6517    28.7050      4.9468
                                          264    CA001153    33.1429    26.3059      6.8370
                                          265    CA001154    32.9094    28.2549      4.6544
                                          266    CA001157    32.4808    25.5819      6.8990
                                          267    CA001158    33.2101    27.1505      6.0597
                                          268    CA001160    32.3617    27.2780      5.0837
                                          269    CA001161    29.2601    25.3918      3.8683
                                          270    CA001162    30.6428    25.8778      4.7650
                                          271    CA001163    32.4083    23.8196      8.5887
                                          272    CA001165    28.5203    26.0760      2.4443
                                          273    CA001166    29.0209    25.4773      3.5436
                                          274    CA001167    30.5405    22.3911      8.1493
                                          275    CA001168    31.6884    25.5714      6.1170
                                                           The SAS System                        14:47 Tuesday, December 1, 2015   6

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                          276    CA00116C    30.7981    24.7843     6.01389
                                          277    CA00116F    30.0206    23.7863     6.23433
                                          278    CA00116Q     9.1963     8.0423     1.15397
                                          279    CA001171    26.8833    18.0833     8.80000
                                          280    CA001173    32.2824    26.5181     5.76435
                                          281    CA001175    30.0391    22.7487     7.29036
                                          282    CA001176    30.0011    23.6245     6.37663
                                          283    CA001179    30.5540    25.3684     5.18561
                                          284    CA00117C    28.1048    23.8560     4.24885
                                          285    CA00117R    36.8585    28.1038     8.75472
                                          286    CA001181    33.9366    28.3688     5.56786
                                          287    CA001182    37.4785    33.2670     4.21148
                                          288    CA001183    37.0809    31.3154     5.76544
                                          289    CA001184    34.5401    30.9853     3.55479
                                          290    CA001187    33.1240    29.1520     3.97200
                                          291    CA001192    36.7797    36.0278     0.75181
                                          292    CA00119B    31.4835    33.0545    -1.57097
                                          293    CA001200    29.0605    28.7650     0.29551
                                          294    CA001206    20.5622    28.4050    -7.84274
                                          295    CA002100    35.7274    36.7080    -0.98057
                                          296    CA002101    34.2203    35.8101    -1.58979
                                          297    CA002200    32.5643    34.5828    -2.01852
                                          298    CA002201    42.7635    39.9460     2.81758
                                          299    CA002202    43.3309    41.1346     2.19631
                                          300    CA002203    37.0264    38.5333    -1.50694
                                          301    CA002204    42.8279    41.4542     1.37372
                                          302    CA00220B    39.6302    37.9048     1.72539
                                          303    CA00220C    22.4850    16.2542     6.23083
                                          304    CA00220L    44.8636    39.2583     5.60525
                                          305    CA00220N    42.3520    40.7936     1.55830
                                          306    CA002300    42.1246    40.5947     1.52985
                                          307    CA002301    42.4962    39.4806     3.01559
                                          308    CA002302    41.4762    39.1467     2.32950
                                          309    CA002303    44.9196    41.8993     3.02039
                                          310    CA00230J    35.3891    36.1848    -0.79569
                                          311    CA00230N    41.6794    36.5997     5.07974
                                          312    CA002400    32.7816    32.3732     0.40844
                                          313    CA002401    39.0423    39.7527    -0.71038
                                          314    CA002402    34.4105    35.5730    -1.16251
                                          315    CA002403    35.0691    35.1557    -0.08655
                                          316    CA002500    29.2143    29.2571    -0.04286
                                          317    CA002502    38.4097    40.2871    -1.87742
                                          318    CA002503    38.7667    39.4515    -0.68482
                                          319    CA00250M    32.6152    34.4879    -1.87273
                                          320    CA003010    36.2226    33.2589     2.96372
                                          321    CA003011    35.3330    32.9975     2.33552
                                          322    CA003012    36.0028    33.2421     2.76075
                                          323    CA003013    37.0198    33.7046     3.31519
                                          324    CA003014    36.2657    33.8885     2.37723
                                          325    CA003015    37.2969    33.8757     3.42121
                                          326    CA003016    36.2330    33.5021     2.73085
                                          327    CA003017    35.1708    32.7008     2.46993
                                          328    CA00301A    33.9574    31.8535     2.10392
                                          329    CA00301B    37.9350    33.9664     3.96866
                                          330    CA00301F    36.6407    34.4378     2.20293
                                                           The SAS System                        14:47 Tuesday, December 1, 2015   7

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                          331    CA00301S    38.0312    35.2018     2.82938
                                          332    CA003020    37.4641    33.0397     4.42439
                                          333    CA003021    38.0802    34.0882     3.99204
                                          334    CA003022    36.4664    34.7945     1.67189
                                          335    CA003023    34.2915    32.8873     1.40426
                                          336    CA003024    35.9724    32.3967     3.57574
                                          337    CA003025    37.0089    33.2617     3.74723
                                          338    CA003026    34.3405    33.2626     1.07790
                                          339    CA003027    32.1499    28.7613     3.38857
                                          340    CA003030    32.8781    29.9046     2.97345
                                          341    CA003031    31.3360    28.5717     2.76429
                                          342    CA003032    32.9744    29.4285     3.54593
                                          343    CA003033    31.5008    29.1487     2.35206
                                          344    CA003034    32.1563    29.7011     2.45518
                                          345    CA003035    34.0889    30.4711     3.61784
                                          346    CA003036    32.9561    30.5627     2.39347
                                          347    CA003037    30.2345    28.7798     1.45475
                                          348    CA00303M    34.6607    29.7074     4.95334
                                          349    CA00303N    27.7074    21.8056     5.90185
                                          350    CA003042    33.3195    29.9086     3.41088
                                          351    CA003044    33.1308    29.3710     3.75977
                                          352    CA003045    32.4400    28.6099     3.83003
                                          353    CA003050    30.7838    25.7571     5.02666
                                          354    CA003051    29.8914    25.3082     4.58318
                                          355    CA003053    31.1114    26.8680     4.24341
                                          356    CA003054    28.8239    29.2005    -0.37660
                                          357    CA003055    30.4500    27.6750     2.77500
                                          358    CA003056    30.6614    26.7378     3.92361
                                          359    CA00305M    27.1669    26.3239     0.84300
                                          360    CA003060    34.1467    32.3874     1.75929
                                          361    CA003061    36.8454    33.8706     2.97488
                                          362    CA003062    35.4365    33.7444     1.69209
                                          363    CA003063    34.5374    32.6618     1.87563
                                          364    CA003064    40.3514    38.1423     2.20908
                                          365    CA003065    35.8011    33.9413     1.85980
                                          366    CA003066    37.1517    34.1617     2.99000
                                          367    CA003067    33.4700    32.3819     1.08813
                                          368    CA00306G    27.2513    20.5871     6.66419
                                          369    CA003070    36.2056    33.4397     2.76594
                                          370    CA003072    40.9219    39.4738     1.44810
                                          371    CA003073    39.9645    36.4882     3.47638
                                          372    CA003074    38.4085    35.1132     3.29525
                                          373    CA003075    37.3996    33.8753     3.52435
                                          374    CA003076    35.7118    33.1223     2.58955
                                          375    CA00307K    41.3780    39.2493     2.12869
                                          376    CA003081    37.8353    35.6719     2.16336
                                          377    CA004010    38.6732    37.6358     1.03740
                                          378    CA004011    38.6464    39.9667    -1.32024
                                          379    CA004012    37.2541    36.4325     0.82155
                                          380    CA004013    38.9926    37.4535     1.53911
                                          381    CA004014    38.7658    38.2738     0.49205
                                          382    CA004015    38.1491    36.5538     1.59531
                                          383    CA004016    38.8529    37.2381     1.61477
                                          384    CA004018    38.6164    36.5744     2.04205
                                          385    CA004019    39.2045    37.4347     1.76978
                                                           The SAS System                        14:47 Tuesday, December 1, 2015   8

                                                              tmax_      tmin_      range_
                                          Obs    station      range      range       diff

                                          386    CA00401H    38.7406    37.0789     1.66166
                                          387    CA004020    36.4884    34.7817     1.70663
                                          388    CA004021    12.2690    11.2333     1.03571
                                          389    CA004022    37.8686    36.1980     1.67059
                                          390    CA004024    35.2631    33.3733     1.88976
                                          391    CA004026    37.3017    36.1310     1.17077
                                          392    CA004027    35.7010    34.1328     1.56824
                                          393    CA004028    35.2756    33.7396     1.53600
                                          394    CA00402D    36.7762    33.9071     2.86908
                                          395    CA004031    34.0953    31.3721     2.72314
                                          396    CA004032    34.8186    31.0639     3.75474
                                          397    CA004034    35.1905    31.9994     3.19109
                                          398    CA004036    34.0055    32.9578     1.04768
                                          399    CA004038    33.1589    32.4262     0.73269
                                          400    CA004040    37.3810    33.5227     3.85823
                                          401    CA004041    37.9426    35.5648     2.37778
                                          402    CA004044    38.4159    35.3969     3.01901
                                          403    CA004045    38.1396    34.7990     3.34067
                                          404    CA004046    38.2563    37.5137     0.74259
                                          405    CA004047    37.6770    36.0035     1.67349
                                          406    CA004048    38.3277    34.5923     3.73538
                                          407    CA004055    38.6194    36.1832     2.43617
                                          408    CA004056    39.0695    41.4976    -2.42807
                                          409    CA004057    38.2063    36.4342     1.77208
                                          410    CA004060    38.8456    36.8376     2.00809
                                          411    CA004061    42.4217    42.6215    -0.19980
                                          412    CA004063    41.0110    39.6966     1.31443
                                          413    CA004064    38.6186    37.5020     1.11660
                                          414    CA004067    39.3681    37.6062     1.76189
                                          415    CA004068    38.9771    39.4939    -0.51679
                                          416    CA00406N    38.0578    38.1220    -0.06414
                                          417    CA00406Q    43.6816    42.5086     1.17296
                                          418    CA00407N    39.5767    38.4006     1.17607
                                          419    CA004083    38.6662    37.9098     0.75636
                                          420    CA004085    38.8609    36.4962     2.36466
                                          421    CA004086    38.5309    37.0681     1.46284
                                          422    CA005010    38.6297    37.4210     1.20877
                                          423    CA005012    38.0237    37.0125     1.01125
                                          424    CA005013    36.9226    38.1139    -1.19135
                                          425    CA00501A    37.9253    38.7695    -0.84417
                                          426    CA005020    38.0412    36.7177     1.32355
                                          427    CA005021    37.8459    36.8968     0.94917
                                          428    CA005022    38.0973    38.1179    -0.02064
                                          429    CA005023    38.4429    38.2323     0.21067
                                          430    CA00502I    38.2842    36.7065     1.57779
                                          431    CA00502S    39.6349    39.6323     0.00261
                                          432    CA005030    38.7595    39.6264    -0.86689
                                          433    CA005031    38.2705    39.5477    -1.27724
                                          434    CA005032    39.3167    41.4494    -2.13273
                                          435    CA00503B    38.6677    39.1516    -0.48387
                                          436    CA005040    39.2173    37.4468     1.77041
                                          437    CA005041    38.6112    35.5524     3.05876
                                          438    CA005043    37.1005    37.1757    -0.07525
                                          439    CA00504K    38.7540    38.9173    -0.16329
                                          440    CA005050    41.2780    40.2914     0.98661
                                                           The SAS System                        14:47 Tuesday, December 1, 2015   9

                                                              tmax_      tmin_       range_
                                          Obs    station      range      range         diff

                                          441    CA005052    40.5001    39.5129      0.9872
                                          442    CA005060    40.9333    38.3881      2.5452
                                          443    CA005061    43.1613    40.3738      2.7875
                                          444    CA005062    43.4970    40.6548      2.8422
                                          445    CA006010    41.4400    38.8639      2.5761
                                          446    CA006012    39.0891    36.1345      2.9546
                                          447    CA006014    39.9806    38.1277      1.8530
                                          448    CA006015    42.5260    40.9607      1.5653
                                          449    CA006016    40.6982    36.3532      4.3449
                                          450    CA006017    43.0132    39.9444      3.0688
                                          451    CA006020    37.1921    38.9143     -1.7222
                                          452    CA006022    37.3839    38.4129     -1.0290
                                          453    CA006025    38.3167    38.2908      0.0259
                                          454    CA006032    39.0717    38.6944      0.3773
                                          455    CA006034    38.7048    40.1903     -1.4855
                                          456    CA006036    39.6106    38.9758      0.6348
                                          457    CA006037    39.1675    37.9750      1.1925
                                          458    CA006040    38.2226    36.5871      1.6355
                                          459    CA006041    31.2578    34.1562     -2.8984
                                          460    CA006042    35.5048    36.9468     -1.4419
                                          461    CA006046    30.0839    34.5645     -4.4806
